"Carimbo de data/hora","Você está sendo convidado(a) a participar de uma pesquisa acadêmica que tem como objetivo investigar as expectativas profissionais dos estudantes de Ciência da Computação da nossa universidade. Este termo de consentimento tem o objetivo de esclarecer os detalhes da pesquisa, bem como os seus direitos como participante.
Esse questionário contém perguntas relacionadas às suas expectativas profissionais, opiniões sobre o curso, entre outros como estudante de Ciência da Computação. O questionário leva menos de 5 minutos para ser concluído.
Os dados coletados durante esta pesquisa serão anônimos e não estarão relacionados à sua identidade pessoal. Os resultados serão utilizados apenas para fins acadêmicos e de pesquisa. Todos os dados serão armazenados de forma segura e acessíveis apenas aos pesquisadores responsáveis. Sua participação é voluntária, e você pode escolher não responder a qualquer pergunta ou interromper sua participação a qualquer momento.
Ao concordar em participar desta pesquisa, você está indicando que:
- Leu e compreendeu as informações fornecidas neste termo de consentimento.
- Está participando voluntariamente e sem coerção.
- Concorda em fornecer informações de acordo com as instruções fornecidas.","Você cursa ciência da computação?","Em que parte do curso você está?","Tenho uma ideia definida de como quero seguir minha carreira profissional após o fim do curso","Você já participou de atividades de pesquisa acadêmica em ciência da computação durante seus estudos?","Para você, o quão importante é o desenvolvimento de habilidades de programação e engenharia de software","Para você, o quão importante é o desenvolvimento de habilidades de pesquisa em ciência da computação","Você pretende seguir uma carreira mais voltada para o mercado de trabalho ou uma carreira acadêmica em ciência da computação?","Para você, o quão importante é a possibilidade de aplicar suas habilidades de programação no mundo real, como em projetos e soluções para empresas?","Para você, o quão importante é para você a possibilidade de se envolver em atividades de pesquisa em ciência da computação, como publicações acadêmicas e conferências?","O quanto você valoriza o equilíbrio entre o desenvolvimento de habilidades práticas (por exemplo, programação) e habilidades de pesquisa em sua carreira em ciência da computação","Entre habilidades de programação e habilidades de pesquisa, você acredita que sua maior preferência acerca de uma das áreas influenciará sua escolha de carreira no futuro?","Você tem algum feedback sobre o formato das perguntas, clareza e o formulário de um modo geral? Responda abaixo para que possamos melhorar!",""
"2023/10/13 10:19:06 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Bastante Definida","Sim","5","5","Carreira acadêmica","3","5","4","Sim","","4"
"2023/10/13 10:45:02 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Pouco Definida","Sim","5","4","Não decidi","4","4","4","Sim","","4"
"2023/10/13 10:47:49 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Sim","5","5","Carreira acadêmica","5","5","5","Sim","","5"
"2023/10/13 10:48:16 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Bastante Definida","Sim","5","4","Mercado de trabalho","5","3","4","Sim","","3"
"2023/10/13 10:48:50 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Pouco Definida","Sim","5","5","Mercado de trabalho","5","5","5","Sim","","5"
"2023/10/13 10:49:38 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Indefinida","Não","5","3","Mercado de trabalho","4","3","4","Sim","","4"
"2023/10/13 11:18:31 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Sim","5","5","Carreira acadêmica","5","5","5","Sim","",""
"2023/10/13 11:23:02 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Moderadamente Definida","Não","5","2","Mercado de trabalho","5","2","3","Sim","",""
"2023/10/13 11:27:00 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Não","5","4","Carreira acadêmica","4","4","4","Sim","",""
"2023/10/13 11:27:10 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Não","5","4","Mercado de trabalho","5","3","3","Sim","",""
"2023/10/13 11:30:40 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Sim","4","4","Mercado de trabalho","4","4","4","Sim","",""
"2023/10/14 12:19:29 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Bastante Definida","Sim","5","3","Mercado de trabalho","5","3","4","Sim","",""
"2023/10/14 12:29:24 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Totalmente definida","Sim","4","4","Carreira acadêmica","3","5","4","Sim","",""
"2023/10/14 6:40:29 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Pouco Definida","Não","4","3","Carreira acadêmica","5","5","3","Sim","",""
"2023/10/14 7:23:11 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Moderadamente Definida","Sim","5","3","Mercado de trabalho","5","3","5","Sim","Só entendi o título no final, ficou meio confuso ",""
"2023/10/14 7:58:46 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Pouco Definida","Sim","5","5","Mercado de trabalho","5","4","5","Sim","",""
"2023/10/14 9:08:43 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Bastante Definida","Não","5","5","Mercado de trabalho","5","4","3","Sim","",""
"2023/10/14 9:28:38 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Bastante Definida","Sim","5","4","Mercado de trabalho","4","4","4","Sim","",""
"2023/10/14 10:23:15 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Indefinida","Não","4","5","Não decidi","5","4","4","Sim","",""
"2023/10/14 11:31:56 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Moderadamente Definida","Não","5","3","Não decidi","5","3","3","Sim","",""
"2023/10/14 2:41:05 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Indefinida","Sim","4","4","Mercado de trabalho","5","4","4","Sim","",""
"2023/10/14 2:47:03 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Pouco Definida","Não","5","4","Mercado de trabalho","5","4","4","Sim","",""
"2023/10/14 3:11:12 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Sim","5","5","Não decidi","5","4","4","Sim","",""
"2023/10/16 2:40:18 AM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Moderadamente Definida","Sim","4","5","Mercado de trabalho","5","5","5","Sim","",""
"2023/10/16 11:15:30 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Pouco Definida","Sim","5","5","Não decidi","4","4","4","Sim","",""
"2023/10/17 8:04:28 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Sim","5","5","Mercado de trabalho","5","3","3","Sim","",""
"2023/10/17 11:36:55 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Moderadamente Definida","Não","5","4","Mercado de trabalho","5","3","4","Sim","",""
"2023/10/18 3:54:29 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Moderadamente Definida","Sim","4","5","Não decidi","4","5","3","Sim","",""
"2023/10/18 4:35:13 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 4o ao 6o período","Bastante Definida","Sim","5","3","Mercado de trabalho","5","2","2","Sim","",""
"2023/10/18 4:35:55 PM GMT-3","Li e concordo com o termo de consentimento","Sim","Do 7o período para frente","Bastante Definida","Sim","3","5","Carreira acadêmica","4","5","4","Sim","",""